Año,Nombre,País,Idioma
2015,Svetlana Aleksiévich,Bielorrusia Bielorrusia (nacida en la RSS de Ucrania),Ruso
2016,Bob Dylan,Estados Unidos,Inglés
2017,Kazuo Ishiguro,Reino Unido Reino Unido (nacido en Japón),Inglés
2018[n. 1]​,Olga Tokarczuk,Polonia Polonia,Polaco
2019,Peter Handke,Austria Austria,Alemán
2020,Louise Glück,Estados Unidos,Inglés
2021,Abdulrazak Gurnah,Tanzania Tanzania,Inglés
2022,Annie Ernaux,Francia,Francés
2023,Jon Fosse,Noruega Noruega,Noruego
2024,Han Kang,Corea del Sur Corea del Sur,Coreano
